Gene_accession no.	Class	Phenotype	PMID	Mechanism of resistance	Notes	Required_gene
aac(6')-Ib_2_M23634	Aminoglycoside	Amikacin, Tobramycin	2824444	Enzymatic modification	Alternative name aacA4, aac(6')-4, curated	
aac(6')-Ib11_1_AY136758	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	12543680	Enzymatic modification	curated	
aac(6')-30-aac(6')-Ib'_1_AJ584652	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	15561846	Enzymatic modification	curated	
aac(6')-Iaj_1_AB709942	Aminoglycoside	Amikacin, Tobramycin	23070167	Enzymatic modification	curated	
aac(6')-Ian_1_AP014611	Aminoglycoside	Amikacin, Tobramycin	25576529	Enzymatic modification	curated	
aac(6')-Iak_1_AB894482	Aminoglycoside	Amikacin, Tobramycin	25092711	Enzymatic modification	curated	
aac(6')-Ib-Hangzhou_1_FJ503047	Aminoglycoside	Amikacin, Tobramycin	19703723	Enzymatic modification	curated	
aac(6')-Ib-Suzhou_1_EU085533	Aminoglycoside	Amikacin, Tobramycin	18843996	Enzymatic modification	curated	
aac(6')-Iid_1_AJ584700	Aminoglycoside	Amikacin, Tobramycin	15849260	Enzymatic modification	curated	
aac(6')-Iih_1_AJ584701	Aminoglycoside	Amikacin, Tobramycin	15849260	Enzymatic modification	curated	
aac(6')-Iz_2_AB971834	Aminoglycoside	Amikacin, Tobramycin	18419807	Enzymatic modification	Alternative name aac(6')-Iak, curated	
aac(6')-29b_1_AF263519	Aminoglycoside	Amikacin, Tobramycin	11158753	Enzymatic modification	curated	
aac(6')-29a_1_AF263519	Aminoglycoside	Amikacin, Tobramycin	11158753	Enzymatic modification	Alternative name aacA29b, curated	
aac(6')-Iaa_1_NC_003197	Aminoglycoside	Amikacin, Tobramycin	11677609	Enzymatic modification	Crytpic gene in Salmonella sp., curated	
aac(6')-Ih_2_KT778788	Aminoglycoside	Amikacin, Tobramycin	26645270	Enzymatic modification	curated	
aac(6')-Ix_1_AF031332	Aminoglycoside	Amikacin, Tobramycin	10188279	Enzymatic modification	curated	
aac(6')-Il_1_U13880	Aminoglycoside	Amikacin, Tobramycin	7793874	Enzymatic modification	Alternative name aacA7, curated	
aac(6')-Ia_2_M86913	Aminoglycoside	Amikacin, Tobramycin	8393071	Enzymatic modification	Alternative name aacA1, curated	
aac(6')-Iag_1_AB472901	Aminoglycoside	Amikacin, Tobramycin	23950962	Enzymatic modification	Alternative name aacA48, curated	
aac(2')-IIa_1_AB669090	Aminoglycoside		22660700	Enzymatic modification	curated	
kamB_1_AJ629123	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	20667473	Target protection	curated	
grmO_1_AY524043	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	unpublished	Target protection	curated	
fmrO_1_Q08325	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	8486289	Target protection	curated	
grmB_1_M55521	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	2013410	Target protection	curated	
grmA_1_M55520	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	2013410	Target protection	curated	
kgmB_1_S60108	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	1921972	Target protection	curated	
sgm_1_M87057	Aminoglycoside	Amikacin, Gentamicin, Tobramycin	1447159	Target protection	curated	
aph(3')-VI_2_APPJ01000012	Aminoglycoside	Amikacin	21239566	Enzymatic modification	Intrinsic in Acinetobacter guillouiae, curated	
aph(3')-IX_1_APPN01000061	Aminoglycoside	Amikacin	27965516	Enzymatic modification	Intrinsic in Acinetobacter gerneri, curated	
ant(6)-Ia_5_AB247327	Aminoglycoside	Streptomycin	17021204	Enzymatic modification	curated	
aadA13_2_NC010643	Aminoglycoside	Streptomycin	18268088	Enzymatic modification	curated	
aadA11_2_AJ567827	Aminoglycoside	Streptomycin	unpublished	Enzymatic modification	curated	
aadA10_2_AM087405	Aminoglycoside	Streptomycin	16495246	Enzymatic modification	curated	
aadA7_2_AB114632	Aminoglycoside	Streptomycin	15117923	Enzymatic modification	curated	
aadA2_1_NC_010870	Aminoglycoside	Streptomycin	17526756	Enzymatic modification	curated	
aadD_2_M19465	Aminoglycoside	Amikacin, Tobramycin	3010356	Enzymatic modification	Alternative name ant(4')-Ia, curated	
