#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_21_length_65975_cov_49.589290	20422	20777	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_50_length_32130_cov_46.531963	4692	5924	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.46	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_57_length_23911_cov_109.029999	921	2840	resfindernewid_2908	1-1920/1920	===============	0/0	100.00	96.15	resfinderformatted	002908	resfinderformatted~~~resfindernewid_2908~~~002908
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_57_length_23911_cov_109.029999	4768	5569	resfindernewid_159	171-972/972	..=============	0/0	82.51	99.75	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_57_length_23911_cov_109.029999	5652	6911	resfindernewid_2627	1-1260/1260	===============	0/0	100.00	99.92	resfinderformatted	002627	resfinderformatted~~~resfindernewid_2627~~~002627
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_57_length_23911_cov_109.029999	7173	7974	resfindernewid_35	18-819/819	===============	0/0	97.92	99.88	resfinderformatted	000035	resfinderformatted~~~resfindernewid_35~~~000035
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_57_length_23911_cov_109.029999	8372	8869	resfindernewid_3039	1-498/498	===============	0/0	100.00	100.00	resfinderformatted	003039	resfinderformatted~~~resfindernewid_3039~~~003039
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_57_length_23911_cov_109.029999	8866	9041	resfindernewid_159	1-184/972	===...../......	4/8	18.11	94.57	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_57_length_23911_cov_109.029999	17445	18658	resfindernewid_2632	1-1214/1215	===============	0/0	99.92	98.11	resfinderformatted	002632	resfinderformatted~~~resfindernewid_2632~~~002632
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_57_length_23911_cov_109.029999	21162	21977	resfindernewid_2805	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002805	resfinderformatted~~~resfindernewid_2805~~~002805
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_83_length_10820_cov_106.554408	78	328	resfindernewid_2463	980-1230/1230	...........====	0/0	20.41	100.00	resfinderformatted	002463	resfinderformatted~~~resfindernewid_2463~~~002463
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_83_length_10820_cov_106.554408	2089	2880	resfindernewid_2823	1-792/792	===============	0/0	100.00	100.00	resfinderformatted	002823	resfinderformatted~~~resfindernewid_2823~~~002823
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_83_length_10820_cov_106.554408	3138	3998	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
16aa98d7-4d85-4d87-8d96-38e0e20455af_1_contigs.fa	NODE_91_length_7472_cov_119.564706	3621	4867	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	99.92	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
