#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_25_length_70249_cov_41.265462	51909	52264	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_38_length_36243_cov_43.410607	32704	33519	resfindernewid_2805	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002805	resfinderformatted~~~resfindernewid_2805~~~002805
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_3_length_235931_cov_42.040809	26118	27350	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.38	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_41_length_29027_cov_86.252124	3998	4858	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_51_length_9400_cov_85.484179	558	733	resfindernewid_159	1-184/972	===...../......	4/8	18.11	94.57	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_51_length_9400_cov_85.484179	730	1227	resfindernewid_3039	1-498/498	===============	0/0	100.00	100.00	resfinderformatted	003039	resfinderformatted~~~resfindernewid_3039~~~003039
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_51_length_9400_cov_85.484179	1625	2426	resfindernewid_35	18-819/819	===============	0/0	97.92	99.88	resfinderformatted	000035	resfinderformatted~~~resfindernewid_35~~~000035
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_51_length_9400_cov_85.484179	2688	3947	resfindernewid_2627	1-1260/1260	===============	0/0	100.00	99.92	resfinderformatted	002627	resfinderformatted~~~resfindernewid_2627~~~002627
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_51_length_9400_cov_85.484179	4030	4831	resfindernewid_159	171-972/972	..=============	0/0	82.51	99.88	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_51_length_9400_cov_85.484179	6513	7304	resfindernewid_2823	1-792/792	===============	0/0	100.00	100.00	resfinderformatted	002823	resfinderformatted~~~resfindernewid_2823~~~002823
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_51_length_9400_cov_85.484179	9065	9327	resfindernewid_2463	968-1230/1230	...........====	0/0	21.38	99.62	resfinderformatted	002463	resfinderformatted~~~resfindernewid_2463~~~002463
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_53_length_6637_cov_44.758994	1281	2486	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_61_length_3429_cov_81.047136	1272	2297	resfindernewid_217	1-1026/1026	===============	0/0	100.00	100.00	resfinderformatted	000217	resfinderformatted~~~resfindernewid_217~~~000217
f3884b80-2577-4e51-b59c-8bc023094571_1_contigs.fa	NODE_61_length_3429_cov_81.047136	2518	3302	resfindernewid_120	1-786/786	========/======	1/1	99.87	99.87	resfinderformatted	000120	resfinderformatted~~~resfindernewid_120~~~000120
