#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_16_length_95214_cov_51.295174	37584	37939	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_2_length_312147_cov_42.252302	102294	103526	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_39_length_42672_cov_106.820777	2266	3078	resfindernewid_1606	1-813/813	===============	0/0	100.00	100.00	resfinderformatted	001606	resfinderformatted~~~resfindernewid_1606~~~001606
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_54_length_18309_cov_65.676503	2590	3836	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_61_length_10837_cov_58.571840	1513	1679	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_61_length_10837_cov_58.571840	1698	2171	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_61_length_10837_cov_58.571840	2302	3090	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_61_length_10837_cov_58.571840	3610	4476	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_61_length_10837_cov_58.571840	9771	10692	resfindernewid_2511	1-921/921	========/======	1/1	100.00	99.67	resfinderformatted	002511	resfinderformatted~~~resfindernewid_2511~~~002511
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_61_length_10837_cov_58.571840	9787	10692	resfindernewid_2510	1-906/906	===============	0/0	100.00	100.00	resfinderformatted	002510	resfinderformatted~~~resfindernewid_2510~~~002510
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_71_length_4208_cov_66.517550	2713	3588	resfindernewid_2034	1-876/876	===============	0/0	100.00	100.00	resfinderformatted	002034	resfinderformatted~~~resfindernewid_2034~~~002034
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_75_length_2727_cov_39.988679	95	955	resfindernewid_112	1-861/861	===============	0/0	100.00	99.77	resfinderformatted	000112	resfinderformatted~~~resfindernewid_112~~~000112
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_80_length_2340_cov_74.555015	75	519	resfindernewid_2607	1-445/633	===========....	0/0	70.30	99.78	resfinderformatted	002607	resfinderformatted~~~resfindernewid_2607~~~002607
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_80_length_2340_cov_74.555015	657	1487	resfindernewid_858	1-831/831	===============	0/0	100.00	100.00	resfinderformatted	000858	resfinderformatted~~~resfindernewid_858~~~000858
59e792c9-73db-426e-9ee0-fc63ccc700af_1_contigs.fa	NODE_80_length_2340_cov_74.555015	1618	2217	resfindernewid_236	1-600/600	===============	0/0	100.00	100.00	resfinderformatted	000236	resfinderformatted~~~resfindernewid_236~~~000236
