ARO Accession	Name	Model ID	Model Type	Pathogen	NCBI Plasmid	NCBI WGS	NCBI Chromosome	Criteria	ARO Categories
ARO:3002501	PDC-4	1	protein homolog model	Pseudomonas aeruginosa	0	0.05	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; monobactam
ARO:3003390	Pseudomonas aeruginosa ompF with mutation	3	protein variant model	Escherichia coli	0	0.01	0	perfect_strict	carbapenem; cephalosporin; cephamycin; monobactam; penam; penem; reduced permeability to antibiotic
ARO:3001109	SHV-52	4	protein homolog model	Klebsiella pneumoniae	0	0.19	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001109	SHV-52	4	protein homolog model	Escherichia coli	0	0.01	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001109	SHV-52	4	protein homolog model	Klebsiella pneumoniae	0	0.17	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3002867	dfrF	5	protein homolog model	Staphylococcus aureus	0	0.1	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Staphylococcus aureus	0	0.1	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecium	0	21.98	36	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Clostridioides difficile	0	4.17	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Clostridioides difficile	0	5.01	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus agalactiae	0	0.1	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pyogenes	0	0.39	0.59	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecium	0	0.49	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecalis	0	3.1	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus anginosus	0	2.56	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus anginosus	0	2.56	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Escherichia coli	0	0.01	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Escherichia coli	0	0.01	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus agalactiae	0	0.1	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Streptococcus pyogenes	0	0.39	0.59	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002867	dfrF	5	protein homolog model	Enterococcus faecalis	0	4.01	2.7	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3001989	CTX-M-130	7	protein homolog model	Escherichia coli	0	0.01	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0.02	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Escherichia coli	0.01	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella pneumoniae	0.03	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella pneumoniae	0.03	0.08	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella aerogenes	0	0.6	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Klebsiella aerogenes	0	0.6	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3002356	NDM-6	8	protein homolog model	Enterobacter hormaechei	0	0.16	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3000988	TEM-126	12	protein homolog model	Escherichia coli	0	0.02	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000938	TEM-72	14	protein homolog model	Escherichia coli	0	0.01	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000938	TEM-72	14	protein homolog model	Acinetobacter baumannii	0	0.04	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000938	TEM-72	14	protein homolog model	Shigella sonnei	0	0.08	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000938	TEM-72	14	protein homolog model	Klebsiella pneumoniae	0	0.04	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002320	KPC-10	16	protein homolog model	Serratia marcescens	0	0.23	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; monobactam; penam
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus pseudintermedius	0	2.03	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus epidermidis	0	3.49	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Enterococcus faecalis	7.08	33.46	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Klebsiella pneumoniae	0	0.04	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus agalactiae	0	0.29	2.25	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Pseudomonas aeruginosa	0	0.05	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Streptococcus anginosus	0	7.69	0	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003196	tet(45)	17	protein homolog model	Staphylococcus aureus	0.81	5.11	2.13	perfect_strict	antibiotic efflux; tetracycline antibiotic
