#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_23_length_79758_cov_57.196747	24922	25277	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_4_length_251397_cov_54.414527	147256	148488	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_50_length_10217_cov_48.783826	458	1324	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_50_length_10217_cov_48.783826	1844	2632	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_50_length_10217_cov_48.783826	2763	3236	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_50_length_10217_cov_48.783826	3255	3421	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_50_length_10217_cov_48.783826	9260	9919	resfindernewid_2636	1-660/660	===============	0/0	100.00	99.85	resfinderformatted	002636	resfinderformatted~~~resfindernewid_2636~~~002636
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_54_length_4539_cov_287.106679	1939	2754	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_54_length_4539_cov_287.106679	2815	3618	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_54_length_4539_cov_287.106679	3618	4454	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_57_length_3414_cov_68.379083	134	1339	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_59_length_2058_cov_371.707219	601	1461	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
c6ebf1a7-8f44-4dbd-a444-944462834bf1_1_contigs.fa	NODE_65_length_1192_cov_62.747085	164	979	resfindernewid_199	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	000199	resfinderformatted~~~resfindernewid_199~~~000199
