#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_15_length_136229_cov_41.834347	118993	119348	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.07	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_43_length_9575_cov_67.458833	1204	2064	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_43_length_9575_cov_67.458833	3400	4646	resfindernewid_2879	1-1247/1275	===============	0/0	97.80	100.00	resfinderformatted	002879	resfinderformatted~~~resfindernewid_2879~~~002879
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_43_length_9575_cov_67.458833	6561	7397	resfindernewid_41	1-837/837	===============	0/0	100.00	99.88	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_43_length_9575_cov_67.458833	7397	8200	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_43_length_9575_cov_67.458833	8261	9076	resfindernewid_2805	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002805	resfinderformatted~~~resfindernewid_2805~~~002805
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_44_length_9242_cov_70.174141	3862	4518	resfindernewid_2750	1-657/657	===============	0/0	100.00	100.00	resfinderformatted	002750	resfinderformatted~~~resfindernewid_2750~~~002750
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_4_length_243616_cov_39.647855	216182	217414	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	98.95	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_56_length_2732_cov_81.767232	79	954	resfindernewid_2034	1-876/876	===============	0/0	100.00	100.00	resfinderformatted	002034	resfinderformatted~~~resfindernewid_2034~~~002034
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_60_length_2125_cov_63.801758	260	742	resfindernewid_2984	1-483/483	===============	0/0	100.00	99.59	resfinderformatted	002984	resfinderformatted~~~resfindernewid_2984~~~002984
611ebba3-0579-4573-811a-58b02ded81c3_1_contigs.fa	NODE_60_length_2125_cov_63.801758	749	916	resfindernewid_159	1-175/972	===...../......	3/7	17.28	96.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
