#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_11_length_123776_cov_78.411297	24922	25277	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_43_length_9230_cov_53.634655	146	1067	resfindernewid_2511	1-921/921	========/======	1/1	100.00	99.67	resfinderformatted	002511	resfinderformatted~~~resfindernewid_2511~~~002511
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_43_length_9230_cov_53.634655	146	1051	resfindernewid_2510	1-906/906	===============	0/0	100.00	100.00	resfinderformatted	002510	resfinderformatted~~~resfindernewid_2510~~~002510
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_43_length_9230_cov_53.634655	6362	7228	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_43_length_9230_cov_53.634655	7748	8536	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_43_length_9230_cov_53.634655	8667	9140	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_43_length_9230_cov_53.634655	9159	9230	resfindernewid_159	103-174/972	.==............	0/0	7.41	100.00	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_45_length_8749_cov_128.468865	75	337	resfindernewid_2463	968-1230/1230	...........====	0/0	21.38	99.62	resfinderformatted	002463	resfinderformatted~~~resfindernewid_2463~~~002463
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_45_length_8749_cov_128.468865	2098	2889	resfindernewid_2823	1-792/792	===============	0/0	100.00	100.00	resfinderformatted	002823	resfinderformatted~~~resfindernewid_2823~~~002823
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_45_length_8749_cov_128.468865	4571	5372	resfindernewid_159	171-972/972	..=============	0/0	82.51	99.75	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_45_length_8749_cov_128.468865	5455	6714	resfindernewid_2627	1-1260/1260	===============	0/0	100.00	99.92	resfinderformatted	002627	resfinderformatted~~~resfindernewid_2627~~~002627
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_45_length_8749_cov_128.468865	6976	7777	resfindernewid_35	18-819/819	===============	0/0	97.92	99.88	resfinderformatted	000035	resfinderformatted~~~resfindernewid_35~~~000035
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_45_length_8749_cov_128.468865	8175	8672	resfindernewid_3039	1-498/498	===============	0/0	100.00	100.00	resfinderformatted	003039	resfinderformatted~~~resfindernewid_3039~~~003039
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_45_length_8749_cov_128.468865	8669	8749	resfindernewid_159	103-184/972	.==...../......	1/1	8.33	96.34	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_48_length_5738_cov_71.873521	2459	3664	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_4_length_297573_cov_60.850818	102304	103536	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_50_length_4537_cov_50.054709	85	921	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_50_length_4537_cov_50.054709	921	1724	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_50_length_4537_cov_50.054709	1785	2600	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_55_length_2068_cov_60.652436	611	1471	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_59_length_1857_cov_163.584831	6	172	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
698a6373-07d0-4bc0-a344-db78309ce044_1_contigs.fa	NODE_60_length_1645_cov_69.670281	299	958	resfindernewid_2636	1-660/660	===============	0/0	100.00	99.85	resfinderformatted	002636	resfinderformatted~~~resfindernewid_2636~~~002636
