#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_15_length_119885_cov_46.038745	62255	62610	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_2_length_312142_cov_43.443968	208607	209839	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_49_length_12285_cov_72.058077	4155	5360	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_49_length_12285_cov_72.058077	7406	8266	resfindernewid_1273	1-861/861	===============	0/0	100.00	100.00	resfinderformatted	001273	resfinderformatted~~~resfindernewid_1273~~~001273
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_54_length_6917_cov_69.572661	2205	3071	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_54_length_6917_cov_69.572661	3591	4379	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_54_length_6917_cov_69.572661	4510	4983	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_54_length_6917_cov_69.572661	5002	5168	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_58_length_5039_cov_69.693067	131	790	resfindernewid_2636	1-660/660	===============	0/0	100.00	99.85	resfinderformatted	002636	resfinderformatted~~~resfindernewid_2636~~~002636
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_60_length_4472_cov_69.716041	85	921	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_60_length_4472_cov_69.716041	921	1724	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
3fa6f13c-b26f-4e30-8da1-e562a763fd68_1_contigs.fa	NODE_60_length_4472_cov_69.716041	1785	2600	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
