#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_38_length_31081_cov_72.544575	24922	25277	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_3_length_283263_cov_63.031449	102304	103536	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_48_length_11624_cov_61.937906	1865	2731	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_48_length_11624_cov_61.937906	3251	4039	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_48_length_11624_cov_61.937906	4170	4643	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_48_length_11624_cov_61.937906	4662	4828	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_48_length_11624_cov_61.937906	10667	11326	resfindernewid_2636	1-660/660	===============	0/0	100.00	99.85	resfinderformatted	002636	resfinderformatted~~~resfindernewid_2636~~~002636
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_56_length_5739_cov_75.586895	2076	3281	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_59_length_4539_cov_51.394666	1939	2754	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_59_length_4539_cov_51.394666	2815	3618	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_59_length_4539_cov_51.394666	3618	4454	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_70_length_888_cov_70.325524	164	812	resfindernewid_199	1-649/816	============...	0/0	79.53	100.00	resfinderformatted	000199	resfinderformatted~~~resfindernewid_199~~~000199
5abd5e16-bba0-40c5-a3b1-7cd9bc59ff79_1_contigs.fa	NODE_78_length_465_cov_62.909794	214	389	resfindernewid_82	641-816/816	...........====	0/0	21.57	100.00	resfinderformatted	000082	resfinderformatted~~~resfindernewid_82~~~000082
