#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_37_length_31081_cov_78.388047	24922	25277	resfindernewid_2855	66-421/465	.=======/=====.	2/2	76.34	75.35	resfinderformatted	002855	resfinderformatted~~~resfindernewid_2855~~~002855
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	299	958	resfindernewid_2636	1-660/660	===============	0/0	100.00	99.85	resfinderformatted	002636	resfinderformatted~~~resfindernewid_2636~~~002636
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	6797	6963	resfindernewid_159	1-174/972	===...../......	3/7	17.18	95.98	resfinderformatted	000159	resfinderformatted~~~resfindernewid_159~~~000159
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	6982	7455	resfindernewid_2982	1-474/474	===============	0/0	100.00	100.00	resfinderformatted	002982	resfinderformatted~~~resfindernewid_2982~~~002982
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	7586	8374	resfindernewid_168	1-789/789	===============	0/0	100.00	100.00	resfinderformatted	000168	resfinderformatted~~~resfindernewid_168~~~000168
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_47_length_11624_cov_68.985624	8894	9760	resfindernewid_2779	1-867/867	===============	0/0	100.00	99.88	resfinderformatted	002779	resfinderformatted~~~resfindernewid_2779~~~002779
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_4_length_283263_cov_69.807406	102304	103536	resfindernewid_2564	1-1233/1233	===============	0/0	100.00	99.92	resfinderformatted	002564	resfinderformatted~~~resfindernewid_2564~~~002564
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_55_length_5739_cov_82.000706	2459	3664	resfindernewid_2892	1-1206/1206	===============	0/0	100.00	100.00	resfinderformatted	002892	resfinderformatted~~~resfindernewid_2892~~~002892
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_57_length_4539_cov_55.003810	1939	2754	resfindernewid_2806	1-816/816	===============	0/0	100.00	100.00	resfinderformatted	002806	resfinderformatted~~~resfindernewid_2806~~~002806
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_57_length_4539_cov_55.003810	2815	3618	resfindernewid_239	1-804/804	===============	0/0	100.00	100.00	resfinderformatted	000239	resfinderformatted~~~resfindernewid_239~~~000239
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_57_length_4539_cov_55.003810	3618	4454	resfindernewid_41	1-837/837	===============	0/0	100.00	100.00	resfinderformatted	000041	resfinderformatted~~~resfindernewid_41~~~000041
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_69_length_888_cov_74.493218	164	812	resfindernewid_199	1-649/816	============...	0/0	79.53	100.00	resfinderformatted	000199	resfinderformatted~~~resfindernewid_199~~~000199
c038da86-4368-404a-b439-629558921209_1_contigs.fa	NODE_78_length_465_cov_63.850515	77	252	resfindernewid_82	641-816/816	...........====	0/0	21.57	100.00	resfinderformatted	000082	resfinderformatted~~~resfindernewid_82~~~000082
